Mexico;Artificial Intelligence (Ai);Business Innovation Policy Strategies;Cluster Policies;Collaborative Research And Innovation;Digital Transformation Of Firms;Ethics Of Emerging Technologies;Financial Support To Business R&D And Innovation;Horizontal Policy Coordination;Intersectoral Mobility;Multi-Stakeholder Engagement;National Sti Plan Or Strategy;Non-Financial Support To Business R&D And Innovation;Open Science And Enhanced Access To Publications And Research Data;Research And Innovation For Developing Countries;Research And Innovation For Society Strategy;Science, Technology And Innovation Culture;Stimulating Demand For Innovation And Market Creation;Strategic Policy Intelligence;Targeted Support To Smes;Transfer And Sharing Strategies
Estimulo Fiscal A La Investigación Y Desarrollo De Tecnología;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
National Repository;;;;;;;;;;;;;Open Science And Enhanced Access To Publications And Research Data;;;;;;;
Bilateral International Cooperation Program;;;;;;;;;;;;;;;;;;;;
Binational Innovation Nodes;;;Cluster Policies;;;;;;;;;;;;;;;;;
Programa De Laboratorios Nacionales;;;;;;;;;;;;;;;;;;;;
Apoyo A Madres Mexicanas Jefas De Familia Para Fortalecer Su Desarrollo Profesional;;;;;;;;;;;;;;;;;;;;
Principles And Impact Analysis Guide For The Development And Use Of Systems Based On Artificial Intelligence In The Federal Public Administration;;;;;;Ethics Of Emerging Technologies;;;;;;;;;;;;;;
National Council For Science And Technology;;;;;;;;;;;;;;;;;;Strategic Policy Intelligence;;
National System Of Researchers;;;;;;;;;;;;;;;;;;;;
Conacyt  Thematic Research Networks;;;;Collaborative Research And Innovation;;;;;;;;;;;;;;;;
National Consortium Of Scientific And Technological Information Resources;;;;;;;;;;;;;Open Science And Enhanced Access To Publications And Research Data;;Research And Innovation For Society Strategy;;;;;
Mexico's National Ai Strategy;;;;;;;;Horizontal Policy Coordination;;;;;;;;;;Strategic Policy Intelligence;;
National Ecosystem Of Open Innovation;;;Cluster Policies;Collaborative Research And Innovation;;;;;;;;;;;;;;;;
National Innovation Plan;;;;Collaborative Research And Innovation;;;;;;;;;;;;;;;;
International Co-Operation Fund For Science And Technology Between The European Union And Mexico;;;;;;;;;;;;;;;;;;;Targeted Support To Smes;
National Programme Of Quality Graduate Programmes;;;;;;;;;;;;;;;;;;;;
Cátedras Conacyt;;;;;;;;;;;;;;;;;;;;
National Energy Strategy;;;;;;;;;;;;;;;;;;;;
Mexico’s Climate Change Mid-Century Strategy;;;;;;;;;;;;;;;;;;;;
Special Climate Change Program;;;;;;;;;;;;;;;;;;;;
General Law On Climate Change;;;;;;;;;;;;;;;;;;Strategic Policy Intelligence;;
Mexican Energy Innovation Centres;;;;;;;;;;;;;;;;;;;;
National Institute Of Ecology And Climate Change;;;;;;;;;;;;;;;;;;;;
National Strategy To Reduce Short-Lived Climate Pollutants;;;;;;;;;;;;;;;;;;;;
Institutional Program Of The National Council Of Science And Technology;;Business Innovation Policy Strategies;;;;;;Horizontal Policy Coordination;;;;;;;;;;;;
National Development Plan;;Business Innovation Policy Strategies;;;;;;;;;;;;;;;;;;
Science And Technology Act;;;;;;;;;;;;;;;;;;;;
Grants For Postgraduate Studies And Quality Support;;;;;;;;;;;;;;;;;;;;
Frontier Science;;;;;;;;;;;;;;;;;;;;
Horizontal Knowledge Networks;;;;;;;;;;;;;;;;;;;;
Support Programmes For Scientific, Technological And Innovation Activities;;Business Innovation Policy Strategies;;;;;;;;;;;;;;;;;;
Classification System For Mexican Journals Of Science And Technology;;;;;;;;;;;;;Open Science And Enhanced Access To Publications And Research Data;;;;;;;
Public Communication Of Science Programme;;;;;;;;;;;;;Open Science And Enhanced Access To Publications And Research Data;;;Science, Technology And Innovation Culture;;;;
National Health It Ecosystem;;;;;;;;;;;;;Open Science And Enhanced Access To Publications And Research Data;;Research And Innovation For Society Strategy;;;;;
Strengthening Scientific Infrastructure;;;;;;;;;;;;;;;;;;;;
National Strategic Programme For Open Technology And Innovation;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;Research And Innovation For Society Strategy;;;;;
Bandera Project;;;;;;;Financial Support To Business R&D And Innovation;;;;;;;;;;;;;
National Strategic Programmes;;;;Collaborative Research And Innovation;;;;;;;;;;;Research And Innovation For Society Strategy;;;;;
Scholarships For Indigenous People;;;;;;;;;;;;;;;;;;;;
Programme For The Incorporation Of Students With Disabilities Into National Postgraduate Courses;;;;;;;;;;;;;;;;;;;;
Institutional Fund For Scientific, Technological And Innovation Development-Pronaces;;;;;;;;;;;;;;;;;;;;
Budgetary Program F003;;;;;;;;;;;;;;;;;;;;
